"Source";"Station";"Nom";"Densp1";"Eff1";"Eff2";"DensCS";"EPA";"Efficacite";"surf_reel";"surf_theo";"largeur..m.";"longueur..m.";"profondeur..cm.";"vitesse.m.s.ou.0......";"substrat.dom";"substrat.accessoire";"facies.plat";"facies.profond";"facies.radier";"végétation.aquatique..abs.pres.";"abris.poissons.1..abs.pres.";"abris.poissons.2..abs.pres.";"abris.poissons.3..abs.pres.";"abris.poissons.4..abs.pres.";"abris.poissons.5..abs.pres.";"DensCSold";"NCS";"LCI";"UCI";"p";"zip";"pzip";"LCIzip";"UCIzip";"Nzip";"DensZip"
"Bretagne";"evron 5";"evron 5";0;0;0;0;0;NA;90;176.7145868;1.5;60;21;"+";"cailloux";"graviers";NA;NA;NA;"pres";"végétation";"racine";"blocs";"sous-berge";"";NA;0;NA;NA;NA;16;0.241379310344828;-50.5072194612511;82.507219461251;5;0.0555555555555556
"Bretagne";"evron 6";"evron 6";0.0111111111111111;1;0;0.0111111111111111;0.04;1;90;176.7145868;1.5;60;16;"+";"cailloux";"pierre";NA;NA;NA;"pres";"sous-berge";"végétation";"";"";"";1;1;NA;NA;1;1;1;1;1;1;0.0111111111111111
"Bretagne";"gouessant 1";"gouessant 1";0.0484261501210654;10;9;0.14043583535109;0.4;0.34;206.5;176.7145868;7;29.5;17;"+";"graviers";"cailloux";NA;NA;NA;"abs";"végétation";"sous-berge";"bois mort";"";"";29;29;10.2437542360337;47.7562457639663;0.395833333333333;40;0.271428571428571;-43.9673692169001;123.9673692169;40;0.193704600484261
"Bretagne";"gouessant 2";"gouessant 2";0.032258064516129;10;5;0.0548387096774194;0.4;0.59;310;176.7145868;15.5;20;17;"+";"vase";"cailloux";NA;NA;NA;"pres";"blocs";"végétation";"";"";"";17;17;12.1513168816009;21.8486831183991;0.625;17;0.625;9.80824071858452;24.1917592814155;17;0.0548387096774194
"Bretagne";"gouessant 3";"gouessant 3";0;0;0;0;0;NA;120;176.7145868;4;30;20;"++";"cailloux";"pierre";NA;NA;NA;"pres";"végétation";"blocs";"";"";"";NA;0;NA;NA;NA;16;0.241379310344828;-50.5072194612511;82.507219461251;NA;NA
"Bretagne";"pont labbé 1";"pont labbé 1";0.755458515283843;173;139;3.28384279475983;6.92;0.23;229;176.7145868;4;57.3;40;"+";"graviers";"blocs";NA;NA;NA;"abs";"blocs";"racine";"";"";"";752;752;341.370091696341;1162.62990830366;0.234410217881292;841;0.206759443339960;198.797126547303;1483.20287345270;841;3.67248908296943
"Bretagne";"pont labbé 2";"pont labbé 2";0.05;12;4;0.0708333333333333;0.48;0.71;240;176.7145868;4;60;42;"+";"cailloux";"sable";NA;NA;NA;"abs";"blocs";"";"";"";"";17;17;14.0985870909526;19.9014129090474;0.727272727272727;17;0.727272727272727;12.9911219632997;21.0088780367003;17;0.0708333333333333
"Bretagne";"pont labbé 3";"pont labbé 3";0.166666666666667;24;15;0.368055555555556;0.96;0.45;144;176.7145868;4.8;30;27;"+";"graviers";"pierre";NA;NA;NA;"pres";"végétation";"sous-berge";"";"";"";53;53;31.5097338233914;74.4902661766086;0.475609756097561;57;0.433333333333333;20.2067339567586;93.7932660432413;57;0.395833333333333
"Bretagne";"pont labbé 4";"pont labbé 4";0;0;0;0;0;NA;128;176.7145868;1.7;75;10;"+";"graviers";"sable";NA;NA;NA;"pres";"sous-berge";"blocs";"";"";"";NA;0;NA;NA;NA;16;0.241379310344828;-50.5072194612511;82.507219461251;NA;NA
"Bretagne";"lanvern1";"lanvern1";0.175324675324675;27;14;0.331168831168831;1.08;0.53;154;176.7145868;2.8;55;28;"+";"sable";"cailloux";NA;NA;NA;"pres";"végétation";"racine";"sous-berge";"blocs";"";51;51;35.5429627734272;66.4570372265729;0.546666666666667;52;0.532467532467532;31.3977003123938;72.6022996876062;52;0.337662337662338
"Bretagne";"lanvern2";"lanvern2";0.0888888888888889;8;8;0.266666666666667;0.32;0.33;90;176.7145868;1.2;75;14;"+";"blocs";"sable";NA;NA;NA;"pres";"sous-berge";"blocs";"";"";"";24;24;8.81818425742008;39.1818157425799;0.4;16;0.241379310344828;-50.5072194612511;82.507219461251;NA;NA
"Bretagne";"St Jean";"St Jean";0.169354838709677;21;0;0.169354838709677;0.84;NA;124;176.7145868;1.7;73;18;"+";"cailloux";"sable";NA;NA;NA;"pres";"blocs";"sous-berge";"";"";"";NA;21;NA;NA;1;21;1;21;21;21;0.169354838709677
"Bretagne";"Rance 1";"Rance 1";0.131034482758621;38;14;0.2;1.52;0.66;290;176.7145868;13.8;21;36;"+";"cailloux";"graviers";NA;NA;NA;"abs";"blocs";"végétation";"racine";"";"";58;58;48.9459798085872;67.0540201914128;0.666666666666667;59;0.65;47.317413898904;70.682586101096;59;0.203448275862069
"Bretagne";"Rance 2";"Rance 2";0.467032967032967;119;51;0.804552590266876;4.76;0.58;254.8;176.7145868;6.5;39;15;"+";"cailloux";"pierre";NA;NA;NA;"pres";"blocs";"végétation";"";"";"";205;205;175.389215405147;234.610784594853;0.584192439862543;206;0.580204778156997;174.160950372079;237.839049627921;206;0.808477237048666
"Bretagne";"Rance 3";"Rance 3";0.00400641025641026;1;0;0.00400641025641026;0.04;1;249.6;176.7145868;7.5;39;31;"++";"graviers";"";NA;NA;NA;"pres";"végétation";"racine";"sous-berge";"";"";1;1;NA;NA;1;1;1;1;1;1;0.00400641025641026
"Bretagne";"Rance 4";"Rance 4";0;0;0;0;0;NA;480;176.7145868;8;60;25;"++";"cailloux";"vase";NA;NA;NA;"pres";"végétation";"sous-berge";"";"";"";NA;0;NA;NA;NA;16;0.241379310344828;-50.5072194612511;82.507219461251;5;0.0104166666666667
"Bretagne";"Rance 5";"Rance 5";0.00340136054421769;1;0;0.00340136054421769;0.04;1;294;176.7145868;6;49;28;"++";"graviers";"vase";NA;NA;NA;"pres";"végétation";"";"";"";"";1;1;NA;NA;1;1;1;1;1;1;0.00340136054421769
"Bretagne";"Linon";"Linon";0.708333333333333;119;66;1.53571428571429;4.76;0.46;168;176.7145868;7;24;25;"+";"cailloux";"blocs";NA;NA;NA;"pres";"blocs";"sous-berge";"";"";"";258;258;196.938772375179;319.061227624821;0.465994962216625;262;0.45679012345679;192.656807300326;331.343192699674;262;1.55952380952381
"Bretagne";"Le Hac";"Le Hac";0.0925069380203515;10;8;0.231267345050879;0.4;0.4;108.1;176.7145868;2.3;47;38;"+";"sable";"cailloux";NA;NA;NA;"abs";"racine";"blocs";"bois mort";"sous-berge";"végétation";25;25;11.4874925522012;38.5125074477988;0.45;30;0.36;-10.7339818208293;70.7339818208293;30;0.277520814061055
"SD22";"Camarel 1";"Camarel 1";0.546875;70;54;1.90625;2.8;0.29;128;176.7145868;1.6;80;18;"++";"cailloux";"pierre";NA;NA;NA;"pres";"blocs";"sous-berge";"";"";"";244;244;105.029880963752;382.970119036248;0.296650717703349;280;0.253061224489796;25.6612417113905;534.338758288609;280;2.1875
"SD22";"Camarel 2";"Camarel 2";0.452380952380952;57;52;2.23809523809524;2.28;0.2;126;176.7145868;1.5;84;17;"++";"cailloux";"pierre";NA;NA;NA;"pres";"végétation";"blocs";"";"";"";283;282;53.4514197175605;510.54858028244;0.214990138067061;481;0.120441988950276;-759.069730869765;1721.06973086977;481;3.81746031746032
"SD22";"Bouillennou 1";"Bouillennou 1";0.397058823529412;54;43;1.41176470588235;2.16;0.28;136;176.7145868;1.6;85;17;"++";"cailloux";"sable";NA;NA;NA;"pres";"blocs";"végétation";"";"";"";192;192;73.1187682763444;310.881231723656;0.293939393939394;233;0.235436893203884;-32.9783021151956;498.978302115196;233;1.71323529411765
"SD22";"Bouillennou 2";"Bouillennou 2";0.0178571428571429;2;0;0.0178571428571429;0.08;1;112;176.7145868;1.4;80;17;"+";"sable";"graviers";NA;NA;NA;"abs";"abs";"";"";"";"";2;2;NA;NA;1;2;1;2;2;2;0.0178571428571429
"SD22";"Matignon 1";"Matignon 1";0.154506437768240;36;18;0.28755364806867;1.44;0.54;233;176.7145868;2.5;93;20;"+";"blocs";"pierre";NA;NA;NA;"abs";"blocs";"";"";"";"";67;67;49.0367672824722;84.9632327175278;0.551020408163265;68;0.54;45.3615771699706;90.6384228300294;68;0.291845493562232
"SD22";"Matignon 2";"Matignon 2";0.025;3;0;0.025;0.12;1;120;176.7145868;1.2;100;13;"0";"blocs";"cailloux";NA;NA;NA;"abs";"blocs";"sous-berge";"";"";"";3;3;NA;NA;1;3;1;3;3;3;0.025
"SD22";"Drouet 1";"Drouet 1";0.0491071428571429;11;8;0.111607142857143;0.44;0.44;224;176.7145868;2.8;80;20;"0";"vase";"cailloux";NA;NA;NA;"pres";"végétation";"";"";"";"";25;25;13.5362166770137;36.4637833229863;0.487179487179487;29;0.404255319148936;-1.90333512804712;59.9033351280471;29;0.129464285714286
"SD22";"Drouet 2";"Drouet 2";0.0205128205128205;2;0;0.0205128205128205;0.08;1;97.5;176.7145868;1.3;75;20;"0";"sable";"vase";NA;NA;NA;"abs";"sous-berge";"";"";"";"";2;2;NA;NA;1;2;1;2;2;2;0.0205128205128205
"SD22";"Coetquen 1";"Coetquen 1";0.075;12;6;0.125;0.48;0.6;160;176.7145868;2;80;18;"+";"cailloux";"pierre";NA;NA;NA;"abs";"blocs";"racine";"sous-berge";"";"";20;20;15.536965677192;24.463034322808;0.642857142857143;21;0.6;11.8535014054797;30.1464985945203;21;0.13125
"SD22";"Coetquen 2";"Coetquen 2";0.154373927958834;9;4;0.240137221269297;0.36;0.64;58.3;176.7145868;1.1;53;35;"0";"vase";"sable";NA;NA;NA;"pres";"végétation";"";"";"";"";14;14;11.1484639818334;16.8515360181666;0.68421052631579;14;0.68421052631579;9.3062675002101;18.6937324997899;14;0.240137221269297
"SD22";"Gue Parfond 1";"Gue Parfond 1";0.0625;9;1;0.0694444444444444;0.36;0.9;144;176.7145868;1.6;90;18;"+";"sable";"graviers";NA;NA;NA;"abs";"racine";"sous-berge";"blocs";"";"";10;10;10;10;0.909090909090909;10;0.909090909090909;9.3210485595543;10.6789514404457;10;0.0694444444444444
"SD22";"Gue Parfond 2";"Gue Parfond 2";0.0476190476190476;5;0;0.0476190476190476;0.2;1;105;176.7145868;1.4;75;23;"0";"sable";"vase";NA;NA;NA;"abs";"sous-berge";"bois mort";"racine";"";"";5;5;NA;NA;1;5;1;5;5;5;0.0476190476190476
"SD22";"Osée 1";"Osée 1";NA;62;31;NA;2.07;0.53;NA;212.0575041;NA;NA;NA;"";"";"";NA;NA;NA;"";"";"";"";"";"";118;118;90.6386166085785;145.361383391421;0.53448275862069;120;0.52247191011236;87.000216459068;152.999783540932;120;NA
