date;station;taille;poids;diametrehorizontal;diametrevertical;diametreremarque;pectorale;contraste;ligne;stade;marque;;operateur;patho;remarque;remarque bis;;;
22/09/2011;0435XX16;450;142;5.1;4.7;;19.9;;;J;00_06E3_DED2;;Brice;;pose 2011;;;;
22/09/2011;0435XX16;474;187;6.5;5.7;;23.9;;;J;00_06E4_7EF0;;Brice;;recapture 2011;;;;
22/09/2011;0435XX16;311;47;4.7;4.3;;14.9;;;J;00_06E4_8033;;Brice;;pose 2011;;;;
22/09/2011;0435XX16;377;87;4.8;4.3;;17.8;;;J;00_06E4_9420;;Brice;;recapture 2011;;;;
22/09/2011;0435XX16;312;48;4.9;4.4;;14.8;;;J;00_06E4_A5C7;;Brice;;pose 2011;;;;
22/09/2011;0435XX16;352;41;4.2;3.8;;14.4;;;J;00_06E7_6C2A;;Brice;;pose 2011;;;;
22/09/2011;0435XX16;345;62;4.1;4.1;;14.1;;;J;00_06E7_7926;;Brice;;pose 2011;;;;
22/09/2011;0435XX16;335;60;4.5;3.8;;15.1;;;J;00_06E7_7927;;Brice;;pose 2011;;;;
22/09/2011;0435XX16;344;64;4.5;3.8;;14.4;;;J;00_06E7_7C4A;;Brice;;pose 2011;;;;
22/09/2011;0435XX16;323;59;4.3;3.8;;12.8;;;J;00_06EA_A2B3;;Brice;;pose 2011;;;;
23/09/2011;0435XX18;595;379;6.4;6;;28.9;;;J;00_06DF_3CB7;;Aurore;;recapture 2011;;;;
23/09/2011;0435XX18;310;44;3.6;3.4;;12.1;;;J;00_06E7_5BD2;;Aurore;;pose 2011;;;;
13/09/2011;0456XXX1;343;58;4.7;4.7;;15.3;;;J;00_06E4_B03E;;Brice;;pose 2011;;;;
13/09/2011;0456XXX3;325;56;3.2;3;;14;;;J;00_06DF_1AC5;;Aurore;;pose 2011;;;;
13/09/2011;0456XXX3;338;60;5.1;5;;13.5;;;J;00_06DF_33E3;;Aurore;;pose 2011;;;;
13/09/2011;0456XXX3;319;47;3.7;3.3;;12;;;J;00_06E3_E17A;;Aurore;;pose 2011;;;;
13/09/2011;0456XXX3;348;54;4;3.9;;13.7;;;J;00_06E3_E548;;Aurore;;pose 2011;;;;
13/09/2011;0456XXX3;570;261;6.7;6.1;;22.9;;;J;00_06E4_832D;;Aurore;;recapture 2011;;;;
13/09/2011;0456XXX3;475;173;6.5;5.7;;21.9;;;J;00_06E7_633F;;Aurore;;pose 2011;taille estimée car queue coupée;;;
13/09/2011;0456XXX3;350;68;4.1;4.1;;13.4;;;J;00_06E7_6FEA;;Aurore;;pose 2011;;;;
13/09/2011;0456XXX3;314;44;3.3;3.2;;18.6;;;J;00_06E7_7070;;Aurore;;pose 2011;;;;
13/09/2011;0456XXX3;318;41;4.5;3.6;;12.3;;;J;00_06E7_781B;;Aurore;;pose 2011;;;;
14/09/2011;0456XXX8;352;70;3.7;3.9;;15;;;J;00_06DF_3C3D;;Aurore;;pose 2011;;;;
14/09/2011;0456XXX8;352;76;5;5.5;;;;;J;00_06E4_7C33;;Aurore;;recapture 2011;;;;
14/09/2011;0456XXX8;375;81;4.3;4.1;;15.1;;;J;00_06E4_832B;;Aurore;;recapture 2011;;;;
14/09/2011;0456XXX8;424;119;4.8;4.8;;18.2;;;J;00_06E4_8484;;Aurore;;pose 2011;;;;
16/09/2011;0456XXX9;315;65;5;4.3;;14.3;;;J;00_06E7_7455;;Aurore;;pose 2011;;;;
15/09/2011;0456XX12;322;50;4.7;3.9;;16.2;;;J;00_06E7_6230;;Brice;;pose 2011;;;;
15/09/2011;0456XX13;325;57;4.9;4.6;;14.1;;;J;00_06DF_1AC8;;Brice;;recapture 2011;;;;
15/09/2011;0456XX13;326;49;3.9;3.8;;14.3;;;J;00_06E3_E0F0;;Brice;;pose 2011;;;;
15/09/2011;0456XX13;442;123;5.8;5.1;;18.7;;;J;00_06E4_8FEC;;Brice;;pose 2011;;;;
15/09/2011;0456XX13;312;42;3.5;3.5;;10;;;J;00_06E7_6906;;Brice;;pose 2011;;;;
15/09/2011;0456XX13;304;37;4.4;4.4;;13.8;;;J;00_06E7_75B6;;Brice;;pose 2011;;;;
15/09/2011;0456XX16;340;64;4;3.7;;14;;;J;00_06DF_0F30;;Brice;;recapture 2011;;;;
15/09/2011;0456XX16;365;77;4.5;4.2;;15.1;;;J;00_06E4_AE36;;Brice;;recapture 2011;;;;
15/09/2011;0456XX16;330;63;4;4.2;;13.5;;;J;00_06E7_72AE;;Brice;;pose 2011;;;;
10/09/2013;0435XXX1;519;242;6.1;5.9;;25.7;;;J;00_06E4_997C;;Brice;x cdb;recapture 2013;;;;
10/09/2013;0435XXX1;434;132;5.5;4.8;;22.1;;;J;00_06E7_74E0;;Brice;x cdb;recapture 2013;;;;
10/09/2013;0435XXX1;488;270;6.2;5.9;;26.3;;;J;00_06EA_BF96;;Brice;;recapture 2013;;;;
10/09/2013;0435XXX2;510;236;6.2;6;;25.2;;;J;00_06DE_BBB7;;Brice;HE caud basse;recapture 2013;;;;
10/09/2013;0435XXX2;439;140;4.9;4.9;;20.9;;;J;00_06E7_7225;;Brice;;pose 2013;;;;
10/09/2013;0435XXX2;377;72;4.7;4.3;;17.1;;;J;00_06E7_7B39;;Brice;;pose 2013;;;;
10/09/2013;0435XXX2;312;42;3.9;3.4;;13.1;;;J;00_06E7_83FD;;Brice;;pose 2013;;;;
12/09/2013;0435XXX6;418;113;5.4;4.8;;17.9;;;J;00_06E7_6D41;;Brice;;pose 2013;;;;
12/09/2013;0435XXX6;605;370;7.1;6.6;;27.3;;;J;00_06E7_706F;;Brice;;pose 2013;;;;
10/09/2013;0435XXX8;399;98;5.9;5.1;;18.9;;;J;00_06DE_E193;;Brice;;pose 2013;;;;
10/09/2013;0435XXX8;313;43;3.8;3.4;;13.8;;;J;00_06DF_21A1;;Brice;;pose 2013;;;;
10/09/2013;0435XXX8;367;93;5.4;5.1;;17.6;;;J;00_06DF_2802;;Brice;;recapture 2013;;;;
10/09/2013;0435XXX8;418;103;5.8;5.1;;17.9;;;J;00_06E4_ADC6;;Brice;;recapture 2013;;;;
10/09/2013;0435XXX8;391;90;4.7;3.9;;16.6;;;J;00_06E7_588E;;Brice;;pose 2013;;;;
10/09/2013;0435XXX8;339;59;4.2;3.7;;14.7;;;J;00_06E7_6C32;;Brice;;pose 2013;;;;
10/09/2013;0435XXX8;380;73;5.1;4.6;;16.2;;;J;00_06E7_6F5A;;Brice;;pose 2013;;;;
10/09/2013;0435XXX8;343;65;4.1;3.9;;15.7;;;J;00_06E7_74D7;;Brice;;pose 2013;;;;
09/09/2013;0435XXX9;744;631;9.1;8.6;;37.2;;;J;00_06E7_6878;;Brice;;pose 2013;;;;
09/09/2013;0435XXX9;444;134;5.6;5.6;;21.7;;;J;00_06E7_7709;;Brice;x cdb;pose 2013;;;;
09/09/2013;0435XXX9;753;842;9.3;8.8;;35.2;0;1;JAG;00_06E7_789E;;Brice;;pose 2013;;;;
09/09/2013;0435XXX9;735;678;8.3;8.4;;36.2;;;J;00_06E7_7F47;;Brice;x cdb;pose 2013;;;;
09/09/2013;0435XX11;316;50;3.7;3.9;;14.8;;;J;00_06DF_2A26;;Brice;;pose 2013;;;;
09/09/2013;0435XX11;439;128;4.8;4.7;;20.2;;;J;00_06DF_3248;;Brice;;pose 2013;;;;
09/09/2013;0435XX11;355;60;4;3.5;;15.1;;;J;00_06E4_7F5E;;Brice;;pose 2013;;;;
09/09/2013;0435XX11;595;341;6.6;6.1;;27.7;;;J;00_06E4_8CC1;;Brice;x cdb;pose 2013;;;;
09/09/2013;0435XX11;326;61;3.9;3.6;;14;;;J;00_06E7_62B4;;Brice;;pose 2013;;;;
09/09/2013;0435XX11;324;54;4;3.5;;13.5;;;J;00_06E7_744B;;Brice;;pose 2013;;;;
12/09/2013;0435XX13;394;92;5.1;4.9;;15.7;;;J;00_06E3_EAB6;;Brice;;pose 2013;;;;
12/09/2013;0435XX13;405;87;4.8;4.5;;17.4;;;J;00_06E7_6882;;Brice;cdb;pose 2013;;;;
12/09/2013;0435XX13;478;170;5.9;5.1;;23.3;;;J;00_06E7_7E4E;00_06E7_6096;Brice;érosion;pose 2013;double marquage;;;
12/09/2013;0435XX13;365;67;4.3;4.2;;15.5;;;J;00_06E7_813C;;Brice;;pose 2013;;;;
12/09/2013;0435XX14;570;417;6.6;7.4;;30.1;;;J;00_06DF_2557;;Laurent B;;recapture 2013;;;;
12/09/2013;0435XX14;363;63;4.8;4.5;;16.6;;;J;00_06DF_2C5B;;Laurent B; érosions;pose 2013;;;;
12/09/2013;0435XX14;409;117;6;4.9;;21.2;;;J;00_06E4_A93D;;Laurent B;;pose 2013;;;;
12/09/2013;0435XX14;392;87;4.7;4.5;;16.4;;;J;00_06E7_6DCE;;Brice;HE tête;pose 2013;;;;
12/09/2013;0435XX14;501;;6.1;5.8;;22.6;;;J;00_06E7_78A0;;Laurent B;;pose 2013;;;;
11/09/2013;0435XX16;324;53;3.8;3.4;;13.4;;;J;00_06DF_0D9A;;Brice;;pose 2013;;;;
